County,TotalPop,White,White_Percent,Black,Black_Percent,NativeAm,Native_Percent,Asian,Asian_Percent,Hawaiian,Hawaiian_Percent,Other,Other_Percent,Mix,Mix_Percent,Hispanic,Hispanic_Percent,Abbott-R,Abbott_Percent,Davis-D,Davis_Percent,Glass-L,Glass_Percent,Parmer-G,Pavitt-I,Total,Total,TurnOut%
Fayette,24554,18038,73.4625722896473,1599,6.51217724199723,69,0.382525778911187,61,0.24843202736825,6,0.0244359371181885,25,0.101816404659119,171,0.696424207868372,4585,18.6731286144824,5885,23.9675816567565,1547,6.30039912030626,79,0.321739838722815,25,4,7540,15850,47.57%
Fisher,3974,2797,70.3824861600403,124,3.1202818319074,12,0.429031104755095,7,0.176144942123805,0,0,7,0.176144942123805,28,0.704579768495219,999,25.138399597383,891,22.4207347760443,334,8.40463009562154,14,0.352289884247609,6,0,1245,2764,45.04%
Floyd,6446,2777,43.0809804529941,211,3.27334781259696,16,0.576161325171048,11,0.170648464163823,1,0.0155134967421657,1,0.0155134967421657,19,0.294756438101148,3410,52.901023890785,955,14.8153893887682,133,2.06329506670804,2,0.0310269934843314,5,0,1095,4079,26.84%
Foard,1336,1087,81.3622754491018,53,3.96706586826347,1,0.0919963201471941,4,0.29940119760479,0,0,0,0,4,0.29940119760479,187,13.997005988024,205,15.3443113772455,102,7.63473053892216,3,0.224550898203593,0,0,310,1069,29%
Fort Bend,585375,211680,36.1614349775785,123267,21.0577834721332,1159,0.547524565381708,98762,16.8715780482597,174,0.029724535554132,1341,0.229083920563741,10025,1.71257740764467,138967,23.7398248985693,73749,12.5985906470211,56825,9.70745248772155,1462,0.24975443092035,416,16,132468,363147,36.48%
Franklin,10605,8601,81.1032531824611,411,3.87553041018388,65,0.755726078362981,49,0.462046204620462,0,0,9,0.0848656294200849,137,1.29184347006129,1333,12.5695426685526,2197,20.7166430928807,353,3.32861857614333,34,0.320603488920321,8,2,2594,6657,38.97%
Freestone,19816,13656,68.9140088817118,3164,15.9668954380299,77,0.563854715875805,50,0.252321356479612,5,0.0252321356479612,8,0.040371417036738,162,0.817521194993944,2694,13.5950746871215,3473,17.5262414210739,902,4.55187727089221,56,0.282599919257166,16,3,4450,11419,38.97%
Frio,17217,2796,16.2397630249172,524,3.04350351396875,38,1.35908440629471,362,2.10257303827612,1,0.00580821281291747,29,0.168438171574606,66,0.383342045652553,13401,77.835859905907,863,5.01248765754777,953,5.53522681071034,19,0.110356043445432,8,0,1843,9966,18.49%
Gaines,17526,10628,60.6413328768686,261,1.4892160219103,46,0.432818968761761,37,0.211114914983453,0,0,17,0.0969987447221271,124,0.707520255620221,6413,36.5913499942942,2235,12.7524820267032,235,1.34086500057058,31,0.176880063905055,11,0,2512,8078,31.1%
Galveston,291309,172652,59.2676505017009,39229,13.4664565804695,1052,0.609318166021824,8515,2.92301302053833,128,0.0439395967855439,426,0.146236470551888,4037,1.38581368924407,65270,22.4057615796285,40422,13.8759873536348,23201,7.96439519547971,991,0.340188596988078,240,0,64854,191961,33.78%
Garza,6461,2962,45.8442965485219,392,6.06717226435536,25,0.844024307900068,8,0.123819842129701,3,0.046432440798638,1,0.0154774802662127,24,0.371459526389104,3046,47.1444048908838,752,11.6390651601919,80,1.23819842129701,7,0.108342361863489,1,0,840,2727,30.8%
